"National.ID","Currency","Denomination","Closing.date.of.statement","Type.of.statement","Accounting.practice","Number.of.months","Fixed.assets","intangible.fixed.assets","tangible.fixed.assets","other.fixed.assets","Current.assets","stocks","debtors","other.current.assets","cash.and.cash.equivalent","Total.assets","Shareholders.Funds","capital","other.shareholders.funds..incl..reserves.","Non.current.liabilities","long.term.debt","other.non.current.liabilities..incl..provisions.","Current.Liabilities","loans","creditors","other.current.liabilities","Total.shareholders.funds.and.liabilities","Working.capital","Number.of.employees","Operating.revenue","Sales","Costs.of.goods.sold","Gross.profit","Other.operating.expenses","Operating.P.L","Financial.revenue","Financial.expenses","Financial.P.L","P.L.before.taxation","Taxation","P.L.after.taxation","Extraordinary.and.other.revenue","Extraordinary.and.other.expenses","Extraordinary.and.other.P.L","P.L.for.the.period","Export.turnover","Material.costs","Costs.of.employees","Depreciation","Interest.paid","Cash.flow","Added.value","Provisions","Own.Shares","Called.Up.Share.Capital"
"590002424","PLN","3","20221231","0","0","12","2244",,"1774","471","7727",,"3603","4124","1359","9972","6282","1003","5279","749",,"749","2941",,"1010","1931","9972","2593","44","15051","14830",,,,"174","180","145","35","209","107","102",,,,"102",,"741","4144","443","22","545","4817","571",,
"590002424","PLN","3","20211231","0","0","12","2655",,"2119","536","52909",,"3519","49390","1212","55564","51680","1003","50677","845",,"845","3038",,"1124","1915","55564","2395","41","17156","13899",,,,"2485","1341","222","1120","3605","787","2817",,,,"2817",,"629","3573","611","39","3428","7828","587",,
"590002424","PLN","3","20201231","0","0","12","3910",,"3130","779","53874",,"5916","47958","1088","57783","48863","1003","47860","559",,"559","8361",,"4342","4019","57783","1574","42","10503","10012",,,,"-723","4662","21","4641","3918","872","3046",,,,"3046",,"579","3780","601","21","3647","8321","319",,
"350013075","PLN","3","20221231","0","0","12","30643","236","9089","21317","140418","14137","48840","77440","76725","171060","133558","5","133553","2933",,"2933","34570",,"17281","17289","171060","45697","167","154151","151481",,,,"41323","56145","1943","54202","95525","7898","87626",,,,"87626",,"53118","17103","1374","1521","89000","115523","2828",,
"350013075","PLN","3","20211231","0","0","12","27226","124","6876","20226","75503","17546","49857","8100","6812","102728","58661","5","58656","1963",,"1963","42105",,"17488","24617","102728","49915","170","88968","86241",,,,"16681","1","927","-926","15755","3026","12729",,,,"12729",,"28219","12897","818","112","13547","29582","1818",,
"350013075","PLN","3","20201231","0","0","12","24942",,"5141","19801","58511","3705","8515","46291","45949","83453","70932","5","70927","1981",,"1981","10541",,"10079","461","83453","2141","138","87058","83374",,,,"27857","40778","697","40080","67937","5370","62567",,,,"62567",,"27963","12377","842","103","63409","81259","1812",,
"511339065","PLN","3","20231231","0","0","12","109052","1008","101867","6177","251305","112641","85407","53257","52093","360357","165158","13449","151709","41856","29232","12625","153343","28390","92590","32363","360357","105457","1007","780929","773398","663239","117689","96076","21614","895","10420","-9525","12089","1035","11054",,,,"11054",,,,,"6764","11054","18852","8358",,
"511339065","PLN","3","20221231","1","0","12","154908","1723","139736","13448","245250","151689","83130","10430","7109","400158","175696","13449","162247","91111","54564","36547","133351","23160","76535","33657","400158","158285",,"801223","798832","681219","120004","93803","26201","746","6718","-5972","20228","2084","18144",,,"-1096","17891",,,,,"6162","17891","26138","17089",,
"511339065","PLN","3","20221231","0","0","12","132760","1723","121341","9695","231425","139230","82371","9824","6645","364185","157243","13449","143794","66251","47617","18634","140691","21039","90768","28884","364185","130833","1182","805647","803369","696618","109029","87011","22017","771","5705","-4934","17084","1509","15575",,,,"15575",,,,,"5293","15575","22376","13455",,
"511339065","PLN","3","20211231","1","0","12","161657","2478","144809","14369","262953","141981","102564","18408","16021","424610","162760","13449","149311","104192","66393","37799","157657","24673","90159","42826","424610","154387","1705","814402","805699","662444","151958","105613","46345","285","2294","-2009","44336","6842","37494",,,"-2602","36329",,,,,"2170","36329","45341","21101",,
"511339065","PLN","3","20211231","0","0","12","136951","2478","122922","11551","247146","127333","103084","16729","14455","384097","146623","13449","133174","74121","53880","20241","163353","21887","104135","37331","384097","126282","1288","815674","807304","678027","137647","99306","38341","317","1777","-1461","36881","5363","31518",,,,"31518",,,,,"1738","31518","38619","17045",,
"511339065","PLN","3","20201231","1","0","12","150207","3361","138080","8766","197559","106483","61711","29364","26780","347766","135773","13449","122324","60050","28554","31497","151943","59347","60348","32248","347766","107846","1782","661042","644309","553017","108024","82837","25187","1608","4000","-2393","22794","2720","20074",,,"-573","20211",,,,,"2731","20211","25662","20268",,
"511339065","PLN","3","20201231","0","0","12","126168","3350","115224","7594","185088","96270","61737","27081","24616","311256","124622","13449","111173","39458","22347","17111","147176","52729","68799","25648","311256","89208","1360","659167","644572","566393","92774","71047","21727","1495","2373","-877","20849","2109","18741",,,,"18741",,,,,"2282","18741","23131","16048",,
"930851590","PLN","3","20221231","0","0","12","12542",,"3863","8679","369",,"238","131","127","12911","10325","10381","-56","2185","2162","23","402",,"9","393","12911","229","4","995","986",,,,"-287","504","205","299","13",,"13",,,,"13",,"2","504","166",,"179","683","23",,
"930851590","PLN","3","20211231","0","0","12","10280",,"3009","7271","2080",,"454","1627","1627","12361","10312","10381","-69","1630","1607","23","418",,"40","378","12361","413","2","1160","1006",,,,"-344","201","55","145","-199",,"-199",,,,"-199",,"10","552","10","4","-189","367","23",,
"930851590","PLN","3","20201231","0","0","12","4968",,,,"9674",,"295","9379",,"14642","14275","10381","3894",,,,,,,,"14642","295","2","1020","830",,,,"61",,,,"61",,"61",,,,"61",,,"517",,,"61","579",,,
"510504190","PLN","3","20231231","0","0","12","26748","48","13589","13111","86574","11815","33717","41042","5550","113321","60321","6945","53376","11111",,"11111","41889",,"14896","26993","113321","30635","356","156052","155388",,,,"-8685","173","3455","-3283","-11967","586","-12553",,,,"-12553",,"29071","45599","3335","2279","-9218","39246","10671",,
"510504190","PLN","3","20221231","0","0","12","27181","109","13821","13251","144685","30523","49855","64307","5736","171866","72874","6945","65929","12487",,"12487","86505",,"25052","61453","171866","55326","394","199436","194215",,,,"-38973","6","8333","-8327","-47300","-4225","-43075",,,,"-43075",,"73383","44742","3039","7023","-40036","7504","12310",,
"510504190","PLN","3","20211231","0","0","12","24686","195","13681","10809","183309","37302","78957","67050","4379","207994","25949","6645","19304","15560",,"15560","166485",,"38943","127542","207994","77316","420","157829","155988",,,,"-42478","529","2695","-2166","-44644","-6114","-38531",,,,"-38531",,"62507","41875","2648","1980","-35882","1859","14775",,
"510504190","PLN","3","20201231","0","0","12","19540","85","14941","4514","156640","9677","30579","116383","3047","176179","64479","6645","57834","11902",,"11902","99798",,"19757","80040","176179","20499","542","197885","179294",,,,"-5527","8","1725","-1717","-7244","-486","-6758",,,,"-6758",,"44227","50955","4512","1245","-2246","49468","10866",,
"000001784","PLN","3","20221231","0","0","12","1840542","1177","1837181","2183","328192","25440","26147","276605","274813","2168734","1846799","1837103","9695","54835","157","54678","267100","434","16294","250372","2168734","35294",,"543895","492189",,,,"3519","6544","356","6188","9708","12","9695",,,,"9695",,"71520","265903","31419","38","41114","307068","53840",,
"000001784","PLN","3","20211231","0","0","12","1877635","1928","1874127","1581","308145","23582","36716","247847","247155","2185780","1863088","1857791","5296","46157","183","45973","276536","337","12869","263330","2185780","47429",,"492394","437358",,,,"5038","579","349","230","5268","45","5224",,,,"5224",,"52338","247926","29244","58","34467","282496","45126",,
"000001784","PLN","3","20201231","0","0","12","1885133","1163","1882477","1493","314747","23022","52532","239192","188852","2199880","1858551","1852637","5914","40063","520","39542","301266","600","15175","285491","2199880","60379",,"447490","398802",,,,"3883","2192","161","2030","5914",,"5914",,,,"5914",,"48165","233881","23087","161","29000","263043","39542",,
"000001293","PLN","3","20231231","0","0","12","1359520","8551","1201646","149323","531066","26331","57719","447016","440617","1890586","1183440","1177304","6136","116073",,"116073","591073",,"26645","564428","1890586","57405",,"1009358","976418",,,,"-6783","16529","3649","12880","6097","422","5675",,,,"5675",,"86165","558350","43108","91","48783","607645","116073",,
"000001293","PLN","3","20221231","0","0","12","1283156","1494","1179926","101736","555481","31601","56042","467837","461452","1838637","1128341","1108279","20062","98737",,"98737","611558",,"18005","593553","1838637","69639",,"882213","848809",,,,"19550","8052","330","7723","27273","85","27187",,,,"27187",,"62861","493953","32390","110","59578","553726","98737",,
"000001293","PLN","3","20211231","0","0","12","1244032","2664","1135509","105859","538941","27417","50198","461325","456718","1782972","1103071","1087141","15929","103063",,"103063","576838",,"15516","561322","1782972","62099",,"828324","803529",,,,"18598","604","831","-226","18372","6","18366",,,,"18366",,"59778","479465","36322","115","54688","534274","103063",,
"000001293","PLN","3","20201231","0","0","12","1200303","6767","1139551","53986","545656","31367","52801","461488","420053","1745960","1119141","1098508","20633","104082",,"104082","522736",,"18260","504477","1745960","65909",,"752120","730671",,,,"19403","2423","501","1922","21325","652","20673",,,,"20673",,"51213","438738","32371","101","53044","492535","104082",,
"790128449","PLN","3","20231231","0","0","12","9271","89","8815","366","19800","9998","8856","946","884","29070","17060","107","16953","561",,"561","11449","288","8560","2601","29070","10294","89","139990","139764",,,,"1566","405","185","220","1786","317","1469",,,,"1469",,"125440","6546","1248","185","2718","9765","561",,
"790128449","PLN","3","20221231","0","0","12","8273","177","7715","380","23123","10129","11237","1757","1687","31396","15900","107","15793","542","20","521","14954","767","11214","2973","31396","10152","95","170333","170107",,,,"4200","9","218","-209","3991","910","3081",,,,"3081",,"153073","6698","964","217","4045","11871","521",,
"790128449","PLN","3","20211231","0","0","12","8944","265","8264","414","18464","9808","7512","1144","914","27408","13019","107","12912","2621","2113","508","11767","1559","8646","1563","27408","8675","93","131994","129678",,,,"3113",,"110","-110","3003","328","2675",,,,"2675",,"117820","5675","1100","110","3775","9888","508",,
"790128449","PLN","3","20201231","0","0","12","9786","353","9016","416","16342","8653","7051","639","341","26128","10468","107","10361","2079","1658","422","13581","3528","8563","1491","26128","7141","98","100153","99933",,,,"912","11","161","-150","762","100","663",,,,"663",,"89179","5318","1091","160","1754","7332","265",,
"000288981","PLN","3","20221231","0","0","12","906624","2819","871047","32758","267411","284","4825","262302","260759","1174035","954994","965722","-10728","96011",,"96011","123030",,"8148","114882","1174035","-3039",,"329783","302066",,,,"190","3283","335","2948","3138","28","3109",,,,"3109",,"29931","187653","18220","69","21329","209079","96011",,
"000288981","PLN","3","20211231","0","0","12","906129","4046","894325","7758","233195","244","4472","228479","227587","1139324","961784","952526","9258","51000",,"51000","126540",,"7702","118837","1139324","-2986",,"349684","334867",,,,"12297","134","3148","-3014","9283","25","9258",,,,"9258",,"25579","191051","23147","1821","32405","225303","51000",,
"000288981","PLN","3","20201231","0","0","12","924701","5920","909945","8835","222193","344","5399","216451","180452","1146894","974971","988476","-13505","33052",,"33052","138871",,"8634","130237","1146894","-2892",,"298743","284135",,,,"-14448","1202","242","960","-13489","17","-13505",,,,"-13505",,"27076","181411","21632","41","8127","189596","33052",,
"430602447","PLN","3","20221231","0","0","12","39006",,"46","38960","738",,"645","94","75","39745","22086","3100","18986","12982",,"12982","4676",,"79","4597","39745","566",,"1276","1276",,,,"312",,"1",,"312","30","281",,,,"281",,"281","279","3","1","284","594",,,
"430602447","PLN","3","20211231","0","0","12","39023",,"43","38981","669",,"467","202","189","39692","21805","3100","18705","17500","4305","13195","388",,"55","332","39692","411","2","1271","1197",,,,"280",,"4","-4","276","32","244",,,,"244",,"274","267","9","1","254","553",,,
"430602447","PLN","3","20201231","0","0","12","39046",,"52","38994","294",,"235","59","39","39340","21561","3100","18461","17500","4305","13195","279",,"49","230","39340","186","3","854","836",,,,"69","536","45","491","560",,"560",,,,"560",,"180","211","15","28","576","814",,,
"190251335","PLN","3","20231231","0","0","12","20193","120","18879","1193","37487","19303","7157","11027","4829","57680","34529","26100","8429","2766",,"2766","20384",,"6275","14109","57680","20185","178","88042","86071",,,,"4439","14","747","-733","3706","1071","2635",,,,"2635",,"46800","18200","1821","566","4456","24292","2256",,
"190251335","PLN","3","20221231","0","0","12","21776","46","21205","525","43191","29572","11727","1892","501","64967","31887","26100","5787","2067",,"2067","31014","10216","8715","12082","64967","32585","193","112637","111104",,,,"2296","45","1031","-986","1310","269","1041",,,,"1041",,"68828","19827","1995","807","3036","23939","1040",,
"190251335","PLN","3","20211231","0","0","12","19803","47","18626","1130","49119","27844","15061","6214","582","68922","30965","26100","4865","2446",,"2446","35512","6601","13731","15180","68922","29174","221","129645","126442",,,,"1682","44","1239","-1195","487","480","6",,,,"6",,"72370","26608","2170","113","2177","29377","1602",,
"190251335","PLN","3","20201231","0","0","12","20568","191","19511","866","45865","19473","13105","13288","10168","66434","35958","26100","9858","2972",,"2972","27503","4380","11240","11884","66434","21338","251","89223","87604",,,,"3712","1","247","-246","3465","766","2699",,,,"2699",,"42452","21315","2476","195","5175","27452","1667",,
"691530091","PLN","3","20221231","0","1","12","70976","1955","49506","19514","205810","151066","50356","4388","3004","276786","71914","14700","57214","20935",,"20935","183937",,"90003","93934","276786","111420","662","483011","478541",,,,"-24466","63","6429","-6365","-30831",,"-30831",,,,"-30831",,"355539","39216","10577",,,,,,
"691530091","PLN","3","20211231","0","1","12","35043","2734","22738","9571","207767","154768","49194","3805","3141","242810","102745","14700","88045","7213",,"7213","132851","30000","88005","14846","242810","115957","446","480366","476214",,,,"-5483","43","1474","-1431","-6914",,"-6914",,,,"-6914",,"353465","26257","7679",,,,,,
"691530091","PLN","3","20201231","0","1","12","23003","3228","4990","14785","188829","134383","31866","22580","21788","211832","109659","14700","94959","7942",,"7942","94230","40000","42104","12126","211832","124145","461","467206","461846",,,,"2276","47","9330","-9282","-7006","145","-7151",,,,"-7151",,"338534","27002","10046",,,,,,
"770726545","PLN","3","20221231","0","0","12","72167","565","69318","2284","68498","30093","15292","23113","21946","140665","114128","800","113328","8205",,"8205","18332","5","8123","10203","140665","37262","535","250601","249780","171396","79204","37980","41224","1583","308","1275","42499","8818","33681",,,,"33681",,,,,"307","33681","42807","6792",,
"770726545","PLN","3","20211231","0","0","12","66832","15","65651","1165","39462","18886","13155","7421","6370","106293","82447","800","81647","7303",,"7303","16543","5","7402","9136","106293","24639","540","210669","209875","153648","57021","31041","25980","417","366","50","26030","5276","20753",,,,"20753",,,,,"366","20753","26396","5807",,
"770726545","PLN","3","20201231","0","0","12","63807","26","62283","1498","28003","15141","10224","2639","1982","91811","62493","800","61693","8257",,"8257","21060","7271","5574","8216","91811","19791","532","155912","154921","125818","30094","24603","5492","297","903","-606","4886","1088","3798",,,,"3798",,,,,"483","3798","5369","5501",,
"011944474","PLN","3","20221231","1","0","12","139747","1885","127401","10460","177147","44913","93750","38484","30636","316893","132915","29204","103710","48017","4904","43113","135962","22780","67107","46074","316893","71556",,"504138","491605","339222","164915","144661","20255","900","15874","-14973","5282","-834","6116",,,"-30","6085",,,,,"4840","6085","10092","11875",,
"011944474","PLN","3","20221231","0","0","12","105881","1878","65258","38745","123846","26647","77152","20047","12964","229727","74595","29204","45390","41921",,"41921","113212","15780","67058","30373","229727","36740","428","405000","398412","293933","111067","104189","6878","879","14133","-13254","-6376","-1730","-4646",,,,"-4646",,,,,"3855","-4646","-2521","10718",,
"011944474","PLN","3","20211231","1","0","12","149570","2315","128040","19215","195645","49885","111253","34507","27164","345215","126457","29204","97253","53330","7432","45897","165428","34635","83974","46819","345215","77164",,"489708","477182","343553","146156","117208","28948","1897","2763","-866","28082","1520","26562",,,"14","25266",,,,,"2714","25266","29500","11515",,
"011944474","PLN","3","20211231","0","0","12","114768","2303","65484","46981","145191","30775","97547","16868","10504","259959","79240","29204","50036","44768",,"44768","135951","21653","78843","35454","259959","49479","419","419814","407220","324908","94905","83303","11603","2045","3562","-1517","10086","992","9094",,,,"9094",,,,,"2215","9094","12302","10426",,
"011944474","PLN","3","20201231","1","0","12","152128","2621","124730","24777","147260","31309","89198","26753","20558","299388","101263","29204","72059","61442","12698","48744","136684","37960","62995","35729","299388","57512","724","334581","327262","222184","112397","95346","17051","913","5399","-4486","12565","1294","11271",,,"-5","11266",,,,,"2687","11266","15247","12592",,
"011944474","PLN","3","20201231","0","0","12","117472","2636","62670","52166","119860","20091","86725","13044","6861","237332","70146","29204","40941","50402","2750","47652","116785","19138","68364","29283","237332","38452","430","303028","297314","224599","78429","66098","12331","678","4138","-3460","8871","1252","7619",,,,"7619",,,,,"1988","7619","10860","11669",,
"270544647","PLN","3","20221231","0","0","12","115257","107","112055","3095","18079","4167","7537","6375","5572","133336","111834","57235","54599","4514","1130","3384","16988","70","5063","11854","133336","6640","270","88242","86854",,,,"395","370","141","230","625","286","339",,,,"339",,"38612","20807","10453","25","10792","31910","3384",,
"270544647","PLN","3","20211231","0","0","12","116020","196","111605","4219","17155","2175","7313","7667","6718","133175","108488","56582","51906","4069","593","3476","20617","33","5064","15521","133175","4425","282","84538","81511",,,,"1036","225","392","-167","868","440","429",,,,"429",,"36164","19901","10961","39","11389","31769","3476",,
"270544647","PLN","3","20201231","0","0","12","117525","242","111263","6021","14288","1242","6436","6609","5416","131813","108060","56582","51478","5569","473","5096","18184","270","4581","13333","131813","3098","284","81125","78260",,,,"231","271","84","186","418","298","119",,,,"119",,"33997","19218","11036","61","11155","30732","5096",,
"634392236","PLN","3","20231231","0","0","12","307485","32","81684","225769","399886","225005","36075","138805","5527","707370","245516","3220","242296","76780","67008","9772","385074","65205","239103","80766","707370","21978","525","918160","914119",,,,"29481","21141","26273","-5132","24349","4202","20147",,,,"20147",,"722402","48708","4863","25741","25009","103660","5080",,
"634392236","PLN","3","20221231","1","0","12","444251","461","82314","361477","486143","314571","110103","61469","16867","930395","235859","3220","232639","242224",,"242224","452311","120171","295006","37134","930395","129668",,"1700663","1681845",,,,"90066","9208","26401","-17193","72873","15545","57329",,,"-19583","37746",,"1394580","71122","9636","26087","47381","160136","24101",,
"634392236","PLN","3","20221231","0","0","12","246573","90","36868","209615","384397","178339","48380","157679","7300","630970","233190","3220","229970","79194","72465","6729","318586","70398","184076","64113","630970","42643","512","867712","863775",,,,"36220","25725","16922","8802","45022","4802","40220",,,,"40220",,"685043","43295","4715","16626","44936","109659","4173",,
"634392236","PLN","3","20211231","1","0","12","372830","509","70709","301612","368828","224573","67317","76938","28984","741658","227725","3220","224505","180165","155219","24946","333768","73209","215009","45549","741658","76881","792","1740947","1722444",,,,"71348","423","9298","-8875","62473","8701","53772",,,"-15342","38431",,"1478074","62024","11757","8452","50188","129364","5939",,
"634392236","PLN","3","20211231","0","0","12","236427","22","40331","196074","275106","129906","29609","115590","12953","511533","192969","3220","189749","86269","80188","6081","232295","41282","144092","46921","511533","15423","467","935534","932704",,,,"24764","5339","6225","-886","23878","4303","19575",,,,"19575",,"777529","37423","5582","6118","25157","73002","3813",,
"634392236","PLN","3","20201231","1","0","12","364767","718","70655","293395","493560","303040","79374","111146","35207","858326","203358","3220","200138","205435","184355","21081","449533","69605","333658","46271","858326","48756",,"1505385","1492373",,,,"45609","7461","18209","-10748","34861","5709","29152",,,"-10212","18941",,"1293279","53360","11934","10545","30875","100489","7111",,
"634392236","PLN","3","20201231","0","0","12","236438","10","42408","194020","372760","201811","57353","113596","15463","609198","173394","3220","170174","103086","96185","6901","332718","37693","243502","51522","609198","15661","460","765770","760844",,,,"19250","18633","14517","4116","23367","2628","20739",,,,"20739",,"636072","31818","5549","7695","26288","68428","4086",,
"930605878","PLN","3","20231231","0","0","12","125860","9","64851","61000","75630","63243","10639","1748","703","201490","80811","20722","60089","18560","7862","10698","102118","19478","68200","14440","201490","5682","223","258274","242087",,,,"12510","1013","8041","-7028","5483","312","5170",,,,"5170",,"191445","25489","6549","7923","11720","45444","566",,
"930605878","PLN","3","20221231","0","0","11","101046","26","49020","52000","72172","52720","12289","7163","4492","173219","75641","20722","54919","18647","10448","8199","78930","11122","55761","12047","173219","9249","20","264333","243204",,,,"10072","134","5046","-4912","5160","153","5007",,,,"5007",,"190630","20934","5099","4264","10106","35457","591",,
"930605878","PLN","3","20211231","0","0","12","109996","101","40895","69000","35515","23454","9190","2870","1144","145511","70976","20722","50254","17792","10552","7239","56743","12757","24850","19135","145511","7794","227","228210","212824",,,,"3833","114","2908","-2794","1039","-10312","11351",,,,"11351",,"171654","20188","5631","2263","16982","29121","514",,
"930605878","PLN","3","20201231","0","0","12","116868","145","46553","70171","79069","67674","7378","4018","2600","195937","59625","20722","38903","32672","11748","20924","103641","22824","71237","9579","195937","3814","226","213836","203258",,,,"4388","435","3040","-2605","1783","980","803",,,,"803",,"164355","17689","5621","2890","6423","27983","14684",,
"570302283","PLN","3","20221231","0","0","12","110442","1","51808","58633","27844","730","24199","2916","1323","138286","27516","9287","18230","51693",,"51693","59077","1734","7738","49605","138286","17190","269","105276","104103",,,,"14873","7922","4483","3439","18312","3429","14883",,,,"14883",,"12526","18002","5835","4229","20718","46378","6072",,
"570302283","PLN","3","20211231","0","0","12","78858","4","36696","42158","20244","432","18402","1410","1220","99102","48160","9287","38874","24677","992","23684","26265","8737","4961","12567","99102","13873","263","81697","81368",,,,"7405","2834","1871","964","8369","2009","6360",,,,"6360",,"8944","14526","4936","1283","11297","29114","5613",,
"570302283","PLN","3","20201231","0","0","12","56559","16","33688","22855","28453","434","21632","6387","6230","85011","41800","9287","32514","19158","573","18585","24053","287","7498","16268","85011","14567","253","89208","89075",,,,"12818","635","1376","-741","12077","2438","9638",,,,"9638",,"7132","13026","4854","469","14493","30426","2839",,
"010862768","PLN","3","20221231","0","0","12","125032","1","117179","7852","168851","54297","94488","20066","17339","293883","87475","21820","65655","23708",,"23708","182700",,"36014","146686","293883","112771","432","479653","479317",,,,"21191","45","6210","-6165","15026","3255","11771",,,,"11771",,"313329","65488","26025","6048","37796","112587","23708",,
"010862768","PLN","3","20211231","0","0","12","127094","1","121784","5309","133596","44516","72129","16951","13744","260690","88667","21820","66847","15779",,"15779","156244",,"30853","125391","260690","85792","433","391321","390946",,,,"20618","3","3855","-3852","16766","3803","12963",,,,"12963",,"245849","56625","24106","2373","37069","99870","15779",,
"010862768","PLN","3","20201231","0","0","12","107177","53","102723","4401","132800","50651","64407","17742","14453","239977","83396","21820","61576","16310",,"16310","140271",,"22838","117433","239977","92220","426","358116","357862",,,,"13581","3","3873","-3870","9711","2019","7692",,,,"7692",,"233930","48827","23436","3280","31128","85254","16310",,
"190279500","PLN","3","20221231","0","0",,"21763","1","20849","912","85116","65496","14468","5151","393","106879","54816","25365","29451","1354",,"1354","50709","2348","16997","31364","106879","62967",,,,,,,"-56","49",,"49","-7","-1","-6",,,,"-6",,,"52",,,"-6","45","1354",,
"190279500","PLN","3","20210331","0","0","12","20272","7","19333","932","44864","28321","10950","5592","5380","65136","41879","25365","16514","1367",,"1367","21890",,"19067","2824","65136","20205","137","89883","89640",,,,"11515","8","349","-341","11173","2197","8976",,,,"8976",,"56911","9178","1393","206","10369","21950","1367",,
"190279500","PLN","3","20200331","0","0","12","20322","11","19398","912","40446","27595","10425","2426","1978","60768","36544","25365","11179","876",,"876","23349",,"15095","8253","60768","22925","124","78535","78325",,,,"6477","13","1848","-1835","4642","1001","3641",,,,"3641",,"52265","8078","1229","152","4870","14102","876",,
"012244299","PLN","3","20231231","0","0","12","1788420","414","219100","1568906","849928",,"22119","827809","72","2638348","306449","10000","296449","1361553",,"1361553","970346","3278","21593","945475","2638348","526","59","223113","195202",,,,"129787","23242","85425","-62183","67604","12304","55300",,,,"55300",,"414","15141","50798","85425","106098","218968","101",,
"012244299","PLN","3","20221231","0","0","12","1593889","635","255166","1338088","780741",,"47735","733006","366","2374630","271149","10000","261149","1208201",,"1208201","895280","12558","20021","862701","2374630","27714","55","158931","142211",,,,"62110","4359","23362","-19003","43107","7909","35198",,,,"35198",,"424","12576","67589","17075","102787","140347","41",,
