"National.ID","Branch.Name","Branch.ID","Branch.Street","Branch.Postcode","Branch.City","Branch.Region","Branch.Telephone.number","Branch.Telefax.number","The.main.industry.code","Director","Number.of.employees","Employment.Year","Validity.date"
"020704346","Zakrzów Ucińska sp.j. Oddział Szczerców Grudna",,"Grudna 16","97-420","Grudna","10",,,,,,,"20240305"
"020745859","1450 S.A. Oddział w Suwałkach",,"Innowacyjna 1","16-400","Suwałki","20",,,,,,,"20230715"
"020817441","Mastermet Sp. z o.o. Oddział w Świdnicy",,"Kliczkowska 26c","58-100","Świdnica","02",,,,,,,"20240703"
"021059267","Horsh Sp. z o.o. Oddział Warszawa",,"Górskiego 6 lok. 60","00-030","Warszawa","14",,,,,,,"20221104"
"021704578","Krajowe Centrum Pracy Sp. z o.o. Oddział w Katowicach",,"Jana III Sobieskiego 11","40-082","Katowice","24",,,,,,,"20240627"
"022277760","Grass Roots Network Sp. z o.o. Oddział w Rzeszowie",,"Cegielniana 16B lok. 14","35-310","Rzeszów","18",,,,,,,"20240713"
"022282694","Idea Finans Sp. z o.o. Oddział w Młodoszowicach",,"Młodoszowice, Węzeł Przyleski 150","49-200","Młodoszowice, Węzeł Przyleski","16",,,,,,,"20170725"
"022321543","Car Store Sp. z o.o. Oddział we Wrocławiu",,"Magellana 1","51-503","Wrocław","02",,,,,,,"20230510"
"022321543","Car Store Sp. z o.o. Oddział w Czernicy",,"Fabryczna 1","55-003","Czernica","02",,,,,,,"20230510"
"070834179","Kombi Sp. z o.o. Oddział Nr 1 w Żywcu",,"Grunwaldzka 5","34-300","Żywiec","24",,,,,,,"20240711"
"071000068","Stj Nieruchomości Sp. z o.o. Oddział w Krakowie",,"Stradomska 3 lok. 11","31-068","Kraków","12",,,,,,,"20240507"
"072826770","Stawac Moe Sp. z o.o. Oddział w Sanoku",,"Korczaka 9","38-500","Sanok","18",,,,,,,"20230803"
"072826770","Stawac Moe Sp. z o.o. Oddział w Budach Głogowskich",,"Budy Głogowskie 520","36-060","Budy Głogowskie","18",,,,,,,"20230803"
"072826770","Stawac Moe Sp. z o.o. z siedzibą w Rzeszowie Oddział w Cieszynie",,"Bielska 136","43-400","Cieszyn","24",,,,,,,"20230803"
"101335024","Cgo Legal Chajdas Gawlak Owczarek sp.k. Oddział w Warszawie",,"Puławska 12 lok. 5","02-566","Warszawa","14",,,,,,,"20231127"
"101403760","Ubezpieczenia i Finanse Sp. z o.o. Oddział w Łodzi",,"Waleczna 36","94-291","Łódź","10",,,,,,,"20230720"
"101425862","Dusoleil Sp. z o.o. Oddział w Łasku",,"Leszczynowa 4","98-100","Łask","10",,,,,,,"20240605"
"120714838","Magelab Sp. z o.o.",,"Łąkowa 7 B","90-562","Łódź","10",,,,,,,"20231214"
"122776631","Promotraffic Sp. z o.o. Oddział w Zamościu",,"Pereca 16","22-400","Zamość","06",,,,,,,"20240604"
"122860426","Agrocentrum Sp. z o.o. Oddział w Warszawie",,"al. Aleje Jerozolimskie 123a","02-017","Warszawa","14",,,,,,,"20200324"
"140012262","Magis Travel Sp. z o.o. Oddział w Krakowie",,"Zakopiańska 62","30-418","Kraków","12",,,,,,,"20210715"
"140415801","Nexio Management Sp. z o.o. Oddział we Wrocławiu",,"Szczytnicka 11","50-382","Wrocław","02",,,,,,,"20240701"
"141343682","Unikkon Integral Sp. z o.o. Oddział Katowice",,"Kopernika 26 lok. 407","40-064","Katowice","24",,,,,,,"20230713"
"141343682","Unikkon Integral Sp. z o.o. Oddział Wrocław",,"Zawalna 7 lok. 2","51-118","Wrocław","02",,,,,,,"20230713"
"141598293","Matsuoka Motor Sp. z o.o. Oddział w Łodzi",,"3 Maja 1 lok. 3","93-408","Łódź","10",,,,,,,"20230826"
"141598293","Matsuoka Motor Sp. z o.o. Oddział w Krakowie",,"al. Pokoju 81","31-564","Kraków","12",,,,,,,"20230826"
"141598293","Matsuoka Motor Sp. z o.o. Oddział w Kielcach",,"1 Maja 191","26-655","Kielce","26",,,,,,,"20230826"
"141734419","Apis S.A. Fabryka w Łazorach",,"Łazory 45","37-413","Łazory","18",,,,,,,"20240710"
"141785658","Wydawnictwo Miasta Polskie Sp. z o.o. Oddział w Zielonej Górze",,"Dąbrowskiego 41A","65-021","Zielona Góra","08",,,,,,,"20240115"
"142070660","Leadenhall Insurance S.A. Oddział w Gdańsku",,"Chmielna 71 lok. 73","80-748","Gdańsk","22",,,,,,,"20240626"
"142098405","Mm3 Sp. z o.o. Oddział w Płocku",,"Bielska 58","09-400","Płock","14",,,,,,,"20230906"
"142142520","Abb It Sp. z o.o. z siedzibą w Warszawie Oddział w Krakowie",,"Starowiślna 13","31-038","Kraków","12",,,,,,,"20240712"
"142142520","Abb It Sp. z o.o. z siedzibą w Warszawie Oddział w Łodzi",,"Aleksandrowska 67/93","91-205","Łódź","10",,,,,,,"20240712"
"142318114","Francuski Smak Sp. z o.o. Oddział Rudziszki",,"Rudziszki 5","11-600","Rudziszki","28",,,,,,,"20240701"
"142737590","Interim a Sp. z o.o. Oddział w Budzisławiu Kościelnym",,"Szkolna 13","62-541","Budzisław Kościelny","30",,,,,,,"20190717"
"142851080","Lk Resorts Sp. z o.o. Oddział w Łapsze Niżne",,"Długa 11 C","34-442","Łapsze Niżne","12",,,,,,,"20200721"
"142866991","Midven S.A. z siedzibą w Warszawie Oddział w Lublinie",,"Bohdana Dobrzańskiego 3","20-262","Lublin","06",,,,,,,"20230818"
"145720526","Energy Investors Group Real Estate Sp. z o.o. Oddział w Brzegu",,"Grobli 13","49-300","Brzeg","16",,,,,,,"20180824"
"146470190","Billon Sp. z o.o. Oddział w Katowicach",,"Harcerska 6","40-832","Katowice","24",,,,,,,"20240508"
"146583215","Social Wifi Sp. z o.o. Oddział w Łodzi",,"Piotrkowska 270","90-361","Łódź","10",,,,,,,"20230804"
"146748828","Kbrw Sp. z o.o. Oddział Poznań",,"Piątkowska 110A lok. 1","60-649","Poznań","30",,,,,,,"20180421"
"146748828","Kbrw Sp. z o.o. Oddział Łódź",,"św. Teresy 105","91-222","Łódź","10",,,,,,,"20180421"
"146749265","Jumptsl Sp. z o.o. Oddział w Gdańsku",,"Szafarnia 11 lok. F8","80-755","Gdańsk","22",,,,,,,"20231218"
"146749265","Jumptsl Sp. z o.o. Oddział w Kielcach",,"Bohaterów Warszawy 6 lok. 7G","25-394","Kielce","26",,,,,,,"20231218"
"146749265","Jumptsl Sp. z o.o. Oddział w Krakowie",,"Zamknięta 10","30-554","Kraków","12",,,,,,,"20231218"
"146749265","Jumptsl Sp. z o.o. Oddział w Opolu",,"Technologiczna 2","45-839","Opole","16",,,,,,,"20231218"
"146749265","Jumptsl Sp. z o.o. Oddział w Olsztynie",,"Władysława Trylińskiego 2","10-683","Olsztyn","28",,,,,,,"20231218"
"146749265","Jumptsl Sp. z o.o. Oddział w Łodzi",,"Henryka Sienkiewicza 85 lok. 87","90-057","Łódź","10",,,,,,,"20231218"
"146749265","Jumptsl Sp. z o.o. Oddział w Lublinie",,"Frezerów 3","20-209","Lublin","06",,,,,,,"20231218"
"146749265","Jumptsl Sp. z o.o. Oddział w Rzeszowie",,"Sportowa 6 lok. 59","35-111","Rzeszów","18",,,,,,,"20231218"
"146975270","Meble Olimp Sp. z o.o. Oddział w Koninie",,"Wał Tarejwy 6","62-500","Konin","30",,,,,,,"20240603"
"146975270","Meble Olimp Sp. z o.o. Oddział w Żyrardowie",,"Piaskowa 6 lok. 8","96-300","Żyrardów","14",,,,,,,"20240603"
"146975270","Meble Olimp Sp. z o.o. Oddział w Bełchatowie",,"Dąbrowskiego 6","97-400","Bełchatów","10",,,,,,,"20240603"
"146975270","Meble Olimp Sp. z o.o. Oddział w Grodzisku Mazowieckim",,"gen. L. Okulickiego 15","05-825","Grodzisk Mazowiecki","14",,,,,,,"20240603"
"146975270","Meble Olimp Sp. z o.o. Oddział w Gnieźnie",,"Kiszkowska 8","62-200","Gniezno","30",,,,,,,"20240603"
"146975270","Meble Olimp Sp. z o.o. Oddział w Grójcu",,"Olimpijska 1","05-600","Grójec","14",,,,,,,"20240603"
"146975270","Meble Olimp Sp. z o.o. Oddział w Kole",,"Marii Konopnickiej 44","62-600","Koło","30",,,,,,,"20240603"
"146975270","Meble Olimp Sp. z o.o. Oddział w Łodzi",,"Brzezińska 27 lok. 29","92-103","Łódź","10",,,,,,,"20240603"
"146975270","Meble Olimp Sp. z o.o. Oddział w Podkowie Leśnej",,"Gołębia 26","05-807","Podkowa Leśna","14",,,,,,,"20240603"
"146975270","Meble Olimp Sp. z o.o. I Oddział w Turku",,"Konińska 24","62-700","Turek","30",,,,,,,"20240603"
"146975270","Meble Olimp Sp. z o.o. Oddział w Sieradzu",,"Jana Pawła II 93","98-200","Sieradz","10",,,,,,,"20240603"
"146975270","Meble Olimp Sp. z o.o. II Oddział w Turku",,"Kolska Szosa 36","62-700","Turek","30",,,,,,,"20240603"
"147055599","Ln Media Sp. z o.o. Oddział Podlasie",,"Dolna 7","16-020","Czarna Białostocka","20",,,,,,,"20230216"
"147137676","Cobant Sp. z o.o. sp.k. Oddział w Lublinie",,"Piękna 8","20-423","Lublin","06",,,,,,,"20240701"
"147264593","Etb Sp. z o.o. Oddział w Gidlach",,"Reymonta 20","97-540","Gidle","10",,,,,,,"20191105"
"147277377","Meattrade Sp. z o.o. Oddział w Łowiczu",,"Batalionów Chłopskich 9","99-400","Łowicz","10",,,,,,,"20240701"
"147353799","Asapon Sp. z o.o. Oddział w Lublinie",,"Frezerów 3","20-209","Lublin","06",,,,,,,"20211215"
"147353799","Aspon Sp. z o.o. Oddział w Woli Bykowskiej",,"Wola Bykowska 33","97-306","Wola Bykowska","10",,,,,,,"20211215"
"147353799","Asapon Sp. z o.o. Oddział w Radomiu",,"Płk. Jana Zientarskiego 1a","26-615","Radom","14",,,,,,,"20211215"
"147353799","Asapon Sp. z o.o. Oddział w Środzie Śląskiej",,"Wrocławska 73","55-300","Środa Śląska","02",,,,,,,"20211215"
"147353799","Asapon Sp. z o.o. Oddział w Jasionce",,"Jasionka 587","36-002","Jasionka","18",,,,,,,"20211215"
"147355255","Gopay Sp. z o.o. Oddział w Lublinie",,"Rusałka 17A","20-107","Lublin","06",,,,,,,"20240604"
"147355255","Gopay Sp. z o.o. Oddział w Częstochowie",,"Jana Kilińskiego 92","42-202","Częstochowa","24",,,,,,,"20240604"
"147440506","Zao Enterprise Sp. z o.o. Oddział w Krakowie",,"Jerzego Bajana 4","31-465","Kraków","12",,,,,,,"20230512"
"170919369","Przedsiębiorstwo Komunikacji Samochodowej w Elblągu Sp. z o.o. Oddział w Braniewie",,"Przemysłowa 7","14-500","Braniewo","28",,,,,,,"20240516"
"170919369","Przedsiębiorstwo Komunikacji Samochodowej w Elblągu Sp. z o.o. Oddział w Ornecie",,"1 Maja 78","11-130","Orneta","28",,,,,,,"20240516"
"170919369","Przedsiębiorstwo Komunikacji Samochodowej w Elblągu Sp. z o.o. Oddział w Pasłęku",,"Kopernika 7","14-400","Pasłęk","28",,,,,,,"20240516"
"170919369","Przedsiębiorstwo Komunikacji Samochodowej w Elblągu Sp. z o.o. Oddział w Nowym Dworze Gdańskim",,"Pszenna 1","82-100","Nowy Dwór Gdański","22",,,,,,,"20240516"
"180191262","Moto-Hurt S.A. Oddział w Piekarach Śląskich",,"Powstańców Warszawskich 8","41-940","Piekary Śląskie","24",,,,,,,"20240704"
"180191262","Moto-Hurt S.A. Oddział w Pogórskiej Woli",,"Pogórska Wola 65 A","33-152","Pogórska Wola","12",,,,,,,"20240704"
"180191262","Moto-Hurt S.A. Oddział w Ropczycach",,"Mickiewicza 107","39-100","Ropczyce","18",,,,,,,"20240704"
"180191262","Moto-Hurt S.A. Oddział w Wałbrzychu",,"Ludowa 59 A","58-304","Wałbrzych","02",,,,,,,"20240704"
"180191262","Moto-Hurt S.A.",,"Ochojno 152","32-040","Ochojno","12",,,,,,,"20240704"
"180711483","Galeria Carpatia Sp. z o.o. Oddział Krosno",,"ks. Jerzego Popiełuszki 92","38-400","Krosno","18",,,,,,,"20230801"
"181141906","Iss Projekt Sp. z o.o. Oddział w Tarnowie",,"Bitwy o Wał Pomorski 1","33-100","Tarnów","12",,,,,,,"20240420"
"190251335","Bogra Sp. z o.o. Oddział w Górze Świętej Małgorzaty",,"Góra Świętej Małgorzaty 92","99-122","Góra Świętej Małgorzaty","10",,,,,,,"20240220"
"190279500","Etanco P.S.A. Oddział w Ornecie",,"Olsztyńska 30","11-310","Orneta","28",,,,,,,"20240520"
"190783368","Firma Handlowa Kolanko sp.j. Marek Papierski Janusz Skawiński - Oddział",,"Oliwska 72","80-209","Chwaszczyno","22",,,,,,,"20240424"
"192638937","Dierre Północ Sp. z o.o. Oddział w Szczecinie",,"Bohaterów Warszawy 29B","70-340","Szczecin","32",,,,,,,"20240709"
"200014674","Sp. z o.o. Szmaragdowa Kamienica sp.k. Oddział w Białymstoku",,"Warszawska 9","15-062","Białystok","20",,,,,,,"20210630"
"200279697","Agencja Ochrony Osób i Mienia Global Security Sp. z o.o. Oddział w Sarnakach",,"Kolejowa 15","08-220","Sarnaki","14",,,,,,,"20240517"
"220827901","Hyperhub Sp. z o.o. Oddział w Białymstoku",,"Warszawska 6 lok. 32","15-063","Białystok","20",,,,,,,"20180719"
"222182590","Apartamenty Sp. z o.o. Oddział 1 w Warszawie",,"Świętokrzyska 30 lok. 63","00-116","Warszawa","14",,,,,,,"20240703"
"230069410","Citronex i Sp. z o.o. Oddział w Siechnicach",,"Opolska 30","55-011","Siechnice","02",,,,,,,"20240216"
"241503697","Epsilon Development Spółka z Zograniczoną Odpowiedzialnością Oddział w Tomaszowie Mazowieckim",,"Zawadzka 76A","97-200","Tomaszów Mazowiecki","10",,,,,,,"20240619"
"242807353","Polcab N. Gamoń sp.j. Oddział w Przegędzy",,"Powstańców Śląskich 18","44-238","Rybnik","24",,,,,,,"20240711"
"242873108","Nowy Design Sp. z o.o. Oddział w Kobiórze",,"Centralna 56","43-210","Kobiór","24",,,,,,,"20240626"
"270544647","Oddział Eksploatacji Sieci Wodociągowo-Kanalizacyjnej w Brzeszczach",,"Wodna 39","32-626","Jawiszowice","12",,,,,,,"20240605"
"270544647","Oddział Eksploatacji Sieci Wodociągowo-Kanalizacyjnej w Łaziskach Górnych",,"Świerczewskiego","43-170","Łaziska Górne","24",,,,,,,"20240605"
"270544647","Oddział Eksploatacji Sieci Wodociągowo-Kanalizacyjnej w Tychach",,"Sadowa 4","43-100","Tychy","24",,,,,,,"20240605"
"270544647","Rejonowe Przedsiębiorstwo Wodociągów i Kanalizacji w Tychach S.A. Oddział Eksploatacji Sieci Wodociągowo-Kanalizacyjnej w Bieruniu",,"Pszenna 20","43-150","Bieruń","24",,,,,,,"20240605"
"270548378","Infosystem Towarzystwo Techniki Biurowej Sp. z o.o. Oddział w Józefowie",,"Orkana 1","05-420","Józefów","14",,,,,,,"20240625"
"272036412","Marani Sp. z o.o. Oddział Gorzów Wielkopolski",,"Koniawskiej 11","66-400","Gorzów Wielkopolski","08",,,,,,,"20240625"
"272036412","Marani Sp. z o.o. Oddział w Gdańsku",,"Nowatorów 31 lok. 7","80-298","Gdańsk","22",,,,,,,"20240625"
"290760306","Przedsiębiorstwo Gospodarki Mieszkaniowej Sp. z o.o. w Kielcach Oddział Białystok",,"K. Kalinowskiego 2 lok. 25","15-875","Białystok","20",,,,,,,"20240703"
"300904710","Gorzowskie Centrum Medyczne Sp. z o.o. Oddział w Poznaniu",,"Obornicka 227","60-650","Poznań","30",,,,,,,"20230227"
"301716211","Pnp Agrofactor Sp. z o.o. Oddział Waganiec",,"Widok 43","87-371","Waganiec","04",,,,,,,"20180728"
"302142730","Biomasa Partner Group S.A. Oddział w Ząbkowicach Śląskich",,"Kamieniecka 85","75-200","Ząbkowice Śląskie","02",,,,,,,"20240702"
"302577830","Tempo Sp. z o.o. Oddział w Luboniu",,"Henryka Sienkiewicza 30","62-030","Luboń","30",,,,,,,"20230715"
"302629773","Ultrapur Sp. z o.o. Oddział Mszczonów",,"Żyrardowska 12","96-320","Mszczonów","14",,,,,,,"20230920"
"311610002","Mbw Tax & Audit Sp. z o.o. Oddział w Kostrzynie nad Odrą",,"Sikorskiego 16","66-470","Kostrzyn nad Odrą","08",,,,,,,"20240508"
"321556832","Meon Sp. z o.o. z siedzibą w Szczecinie Oddział w Bartoszycach",,"Boh. Warszawy 59","11-200","Bartoszyce","28",,,,,,,"20230209"
"340052634","Bakerfix Sp. z o.o. Oddział Warszawa",,"Korotyńskiego 44 lok. 34","02-123","Warszawa","14",,,,,,,"20240524"
"341338798","Softblue S.A. Oddział w Gdańsku",,"Trzy Lipy 3","80-172","Gdańsk","22",,,,,,,"20240701"
"341410308","Megatransport Sp. z o.o. Oddział w Starej Kamienicy",,"Sportowa 9","58-512","Stara Kamienica","02",,,,,,,"20240705"
"350013075","Fagron Sp. z o.o. Oddział w Modlniczce",,"Komandosów 1 lok. 1","32-085","Modlniczka","12",,,,,,,"20240610"
"360217083","Horizon Business Hub Sp. z o.o. Oddział w Bydgoszczy",,"Obrońców Bydgoszczy 1","85-054","Bydgoszcz","04",,,,,,,"20240625"
"360225711","Hyperview Sp. z o.o. Oddziałw Lublinie",,"Nałęczowska 30","20-701","Lublin","06",,,,,,,"20240510"
"360633232","Pret Nieruchomości Sp. z o.o. Oddział w Miączynie",,"Miączyn 32","09-150","Miączyn","14",,,,,,,"20240712"
"360633232","Pret Nieruchomości Sp. z o.o. Oddział w Psucinie",,"Lipowa 37","05-190","Psucin","14",,,,,,,"20240712"
"360701235","Bgl Invest Consulting Sp. z o.o. Oddział w Poznaniu",,"27 Grudnia 5 lok. 5A","61-737","Poznań","30",,,,,,,"20221006"
"360701235","Bgl Invest Consulting Sp. z o.o. Oddział w Warszawie",,"Kielecka 41a lok. 8","02-530","Warszawa","14",,,,,,,"20221006"
"361501691","Medcervin Sp. z o.o. Oddział w Ociążu",,"Teofila Morawskiego 34","63-460","Ociąż","30",,,,,,,"20240705"
"361503922","Mtl Sp. z o.o. Oddział w Chełmie",,"Hutnicza 3","22-100","Chełm","06",,,,,,,"20190904"
"362217064","Dreman Sp. z o.o. Oddział Opole",,"Władysława Reymonta 29","45-072","Opole","16",,,,,,,"20240619"
"362418868","Netrix S.A. Oddział Lublin",,"Związkowa 26","20-148","Lublin","06",,,,,,,"20240215"
"362418868","Netrix S.A. Oddział Gdańsk",,"Konrada Leczkowa 1","80-432","Gdańsk","22",,,,,,,"20240215"
"362418868","Netrix S.A. Oddział Rzeszów",,"al. Tadeusza Rejtana 23","35-326","Rzeszów","18",,,,,,,"20240215"
"362418868","Netrix S.A. Oddział Warszawa",,"Złota 59 lok. 628","00-120","Warszawa","14",,,,,,,"20240215"
"362418868","Netrix S.A. Oddział Cbr Rzeszów",,"Technologiczna 40","35-213","Rzeszów","18",,,,,,,"20240215"
"362418868","Netrix S.A. Oddział Wrocław",,"Robotnicza 42A","53-608","Wrocław","02",,,,,,,"20240215"
"362418868","Netrix S.A. Oddział Łódź",,"Aleja T. Kościuszki 101","90-441","Łódź","10",,,,,,,"20240215"
"362418868","Netrix S.A. Oddział Kraków",,"Królewska 57","30-081","Kraków","12",,,,,,,"20240215"
"362418868","Netrix S.A. Oddział Katowice",,"Stanisława Moniuszki 7","40-005","Katowice","24",,,,,,,"20240215"
"363281495","Inwestor Group Sp. z o.o. Oddział w Rzeszowie",,"gen. Leopolda Okulickiego 18","35-206","Rzeszów","18",,,,,,,"20240702"
"363576090","Anywhere.To Sp. z o.o. Oddział w Łodzi",,"Dowborczyków 25","90-001","Łódź","10",,,,,,,"20240707"
"363788188","Global Metal Sp. z o.o. Oddział I w Tomaszowie Mazowieckim",,"Zawadzka 76A","97-200","Tomaszów Mazowiecki","10",,,,,,,"20240621"
"363788188","Global Metal Sp. z o.o. Oddział II w Tomaszowie Mazowieckim",,"Zawadzka 76J","97-200","Tomaszów Mazowiecki","10",,,,,,,"20240621"
"363788188","Global Metal Sp. z o.o. Oddział w Piotrkowie Trybunalskim",,"Żelazna 2","97-300","Piotrków Trybunalski","10",,,,,,,"20240621"
"363905866","Bts System Sp. z o.o. sp.k. Oddział w Legnicy",,"Chojnowska 96","59-220","Legnica","02",,,,,,,"20230711"
"363923226","B&B Konstrukcje Sp. z o.o. Oddział w Porębach",,"Poręby 40B","00-490","Poręby","10",,,,,,,"20231009"
"364108439","Dolnośląskie Centrum Logistyczne M&M Sp. z o.o. Oddział w Legnicy",,"Wrocławska 104","59-220","Legnica","02",,,,,,,"20240430"
"364108439","Dolnośląskie Centrum Logistyczne M&M Sp. z o.o. Oddział w Rawiczu",,"Wały Powstańców Wielkopolskich 5","63-900","Rawicz","30",,,,,,,"20240430"
"364108439","Dolnośląskie Centrum Logistyczne M&M Sp. z o.o. Oddział I we Wrocławiu",,"al. Armii Krajowej 61","50-541","Wrocław","02",,,,,,,"20240430"
