"National.ID","Name","National.ID.of.the.subsidiary","ISO.country.code","Direct.percentage.held","Validity.date"
"812442100","PV Power Plants Sp. z o.o.","122672274",,"100","20230831"
"004610793","Masters Sp. z o.o.","630155462",,"33.4","20190527"
"004610793","Miralex Sp. z o.o. sp.k.","301909619",,,"20220801"
"004610793","Miralex Hotele Sp. z o.o.","300737375",,"100","20221223"
"004610793","Miralex Hotele Sp. z o.o. Sp.K.","300818582",,,"20230131"
"004610793","Pcch-Izabela Sp. z o.o.","301745135",,"43","20240112"
"012250271","Medicofarma Biotech S.A.","277501658",,"11.6","20231114"
"590757832","Modzelewskiego Sp. z o.o. w likwidacji","363235762",,"100","20190417"
"590757832","Przedsiębiorstwo Budowlane Buszrem Sp. z o.o.","100224541",,"100","20190625"
"590757832","Buszrem Nieruchomości Sp. z o.o. Sp.K.","100424211",,,"20210117"
"590757832","Buszrem Nieruchomości Sp. z o.o. Kasztanowy Park sp.k.","100571082",,,"20210117"
"590757832","Buszrem - Nieruchomości Sp. z o.o. Moje Miasto sp.k.","101859767",,,"20210125"
"590757832","Buszrem - Nieruchomości Sp. z o.o.","140632929",,"100","20210820"
"590757832","Buszrem - Nieruchomości Sp. z o.o. Twój Żoliborz sp.k.","101855261",,,"20220224"
"590757832","Buszrem-Nieruchomości Sp. z o.o. Zielone Włochy sp.k.","387354287",,,"20220621"
"590757832","Buszrem - Nieruchomości Sp. z o.o. Notabilis sp.k.","140979768",,,"20230914"
"290760306","Gzn - Grupa Zarządzania Nieruchomościami Sp. z o.o.","017273041",,"58.14","20230111"
"290760306","Zakład Gospodarki Mieszkaniowej Sp. z o.o.","277956353",,"100","20230928"
"472762508","Kolor Metal Tadeusz Pacyna Sp. z o.o. sp.k.","142991383",,,"20220115"
"012926952","IOSIS Polska Sp. z o.o.","016027883",,"100","20120828"
"012926952","CGM Projekt Sp. z o.o.","012474786",,"100","20110303"
"012926952","BIPROGEO - PROJEKT Sp. z o.o.","930871249",,"100","20111020"
"012926952","Irp Biuro Projektów Sp. z o.o.","302463410",,"100","20240228"
"272036412","Vitalon-Marani Sp. z o.o. S.J.",,,,"20091014"
"272036412","Eko Marani Sp. z o.o. w likwidacji","241655378",,"50","20130514"
"272036412","Gromar 3D Sp. z o.o. w likwidacji","243289558",,"20","20200324"
"272036412","ORC Technologies Sp. z o.o. w likwidacji","363889831",,"20","20180316"
"272036412","Marani Strefa Sp. z o.o.","366707084",,"100","20200626"
"272036412","Marani Serwis Sp. z o.o.","243461158",,"24","20190409"
"272036412","Ośrodek Badawczo-Rozwojowy Elementów I Układów Pneumatyki Sp. z o.o.","260236273",,"98.24","20220124"
"190783368","Kolanko Pri Sp. z o.o.","001295598",,"100","20210105"
"472945976","Turbiny Hybrydowe Sp. z o.o.","143337935",,"50","20210119"
"472945976","Farma Wiatrowa Centrum N Sp. z o.o.","142280883",,"97.79","20210718"
"472945976","Farma Wiatrowa Szubin Sp. z o.o.","142769437",,"100","20220701"
"270548378","INFOSYSTEM - SERWIS Sp. z o.o.","271823415",,"100","20140520"
"192638937","Smartdoor Sp. z o.o.","362975876",,"100","20190726"
"011133557","Carflow - Polchip Sp. z o.o. sp.k.","364717121",,,"20190425"
"932780545","M - Apartament Sp. z o.o.","932800472",,"100","20231016"
"070834179","Kombi Invest Sp. z o.o.","240669591",,"99.93","20221012"
"072826770","Poldrut Sp. z o.o.","010338560",,"87.4","20090529"
"852651568","Zielona Galicja Sp. z o.o.","121282938",,"13","20191029"
"311610002","Centrum Supermarketów Sp. z o.o. w likwidacji","017366430",,"100","20191028"
"003526990","Feros Steel Polska Sp. z o.o.","120376169",,"51","20190501"
"003526990","EURECA GROUP Sp. z o.o. S.K.A.","146065101",,,"20231112"
"933002152","Agroservice Solutions Sp. z o.o.","021229166",,"50","20230522"
"140012262","Grupa Travel Polska Sp. z o.o. w likwidacji","120186523",,"94.6","20100317"
"140012262","Neckermann Klub Sp. z o.o. w likwidacji","140319902",,"71.43","20101122"
"200014674","Białostockie Przedsiębiorstwo Instalacji Sanitarnych Bpis Plus Sp. z o.o.","200000809",,"100","20130520"
"340052634","Bakerbis Sp. z o.o.","341235288",,"100","20190506"
"340052634","Alesplast Sp. z o.o.","340025519",,"67.01","20221031"
"140415801","Platinum Alfa Sp. z o.o.","368287999",,"50","20200611"
"140415801","Asi Platinum Alfa Sp. z o.o. sp.k.","380263630",,,"20220802"
"180191262","Polskie Składy Oponiarskie Sp. z o.o.","356570470",,"12.5","20190710"
"020704346","Bodex Sp. z o.o. sp.k.","020584847",,,"20220121"
"141343682","Magic Smart Sp. z o.o.","145840851",,"49","20190424"
"141343682","Smartmobile Sp. z o.o.","122885745",,"10.6","20230906"
"020745859","1450 S.A. sp.k.","020745865",,,"20230522"
"020745859","Podatnik S.A.","365668904",,"99.99","20221231"
"020817441","Blauing Sp. z o.o.","361772711",,"90","20230616"
"141598293","Pk Nieruchomości Sp. z o.o. w Likwidacji","120905047",,"25","20100928"
"141598293","Autoskar Sp. z o.o.","061616660",,"50","20200926"
"141598293","Pk Nieruchomości Sp. z o.o. sp.k. w likwidacji","120969550",,,"20210119"
"141598293","Matsuoka Motor Lublin Sp. z o.o.","520687135",,"10","20211215"
"141598293","Auto - Progres Sp. z o.o. w likwidacji","356038685",,"99.99","20220801"
"141598293","Polmozbyt Myślenicki Sp. z o.o. w likwidacji","357489600",,"99.99","20220801"
"141598293","Auto-Mobil Sp. z o.o. w likwidacji","357939396",,"100","20220801"
"141598293","Matsuoka Motor Południe Sp. z o.o.","522677856",,"10","20220727"
"141598293","Wielicka Sp. z o.o.","120413226",,"91.29","20230908"
"120714838","Magelab Sp. z o.o. sp.k.","121171771",,,"20191031"
"141734419","Apis Tech Sp. z o.o.",,,"100","20191030"
"300904710","Mediraj Sp. z o.o. sp.k.","364225286",,,"20220322"
"300904710","Jdj Edutrust Sp. z o.o. w likwidacji","639769616",,"84.9","20221108"
"141785658","Marcco Sp. z o.o.","081159708",,"91.66","20210716"
"200279697","Internet Cardio Services Sp. z o.o.","383992068",,"10","20190729"
"220827901","Hyperhub Cargo Sp. z o.o.","387147424",,"10","20220608"
"220827901","A-Dept International Sp. z o.o.","388032953",,"100","20231103"
"021059267","Horsh Sp. z o.o. Konsulting S.K.A.","021987398",,,"20210207"
"142070660","Leadenhall Consulting Sp. z o.o. w likwidacji","142246544",,"100","20110822"
"142098405","MBM Service Sp. z o.o.","369113020",,"97.56","20210626"
"142142520","Abb Real Estate Sp. z o.o. sp.k.","142681820",,,"20191029"
"241503697","Tompol Invest S.J. Sławomir Burian","100605830",,,"20110922"
"142318114","Francuski Smak Sp. z o.o. sp.k.","366393467",,,"20190927"
"142737590","Techront Sp. z o.o. sp.j.","146989377",,,"20240613"
"142851080","Lk Resorts Development Sp. z o.o. sp.k.","384746093",,,"20210124"
"142866991","TNN Finance S.A.","145927902",,"10.56","20170426"
"142866991","BLU Asset Management Sp. z o.o. S.K.A.","302348399",,"10","20140704"
"142866991","Inqubit Sp. z o.o. w likwidacji","142026245",,"23.5","20171123"
"142866991","Noma Level Up! Sp. z o.o.","366250727",,"50","20201212"
"142866991","Nakayama Games Sp. z o.o.","362418390",,"50","20220908"
"142866991","Epicvr S.A.","385648056",,"19.81","20230126"
"142866991","Sortano Sp. z o.o.","366186165",,"19","20230227"
"142866991","Aurora Studio Sp. z o.o.","366035532",,"19.76","20240119"
"301716211","Petroestry Sp. z o.o.","631503787",,"100","20221031"
"301716211","Petroestry Agrorafineria Sp. z o.o.","300329080",,"49.04","20231102"
"180711483","Carpatia 5 Sp. z o.o.","180775626",,"22.14","20190706"
"180711483","Eco Minerals Trade Sp. z o.o.","180710822",,"18.48","20221013"
"021704578","Care For Personnel Sp. z o.o. w likwidacji","366748982",,"100","20230825"
"145720526","Energy Investors Group S.A.","160400630",,"20","20200630"
"242807353","Gamon Trucks Sp. z o.o.","243518094",,"95","20190429"
"242807353","Polcab Logistica Sp. z o.o.","364583531",,"70","20190513"
"242873108","Śląskie Centrum Mario Car Sp. z o.o. sp.k.","240461382",,,"20240117"
"242873108","Cis Strefa Sp. z o.o. sp.k.","243613556",,,"20240119"
"242873108","Nieruchomości-Cis Strefa Sp. z o.o. sp.k.","277942109",,,"20240126"
"101403760","Ubezpieczenia i Finanse Sp. z o.o. sp.k.","101420847",,,"20200723"
"101425862","Anthos 2 Podlindowo Sp. z o.o.","101504580",,"35","20191029"
"101425862","Anthos 5 Żychlin Sp. z o.o.","101512704",,"35","20210120"
"101425862","Ener 1W Sp. z o.o.","101450140",,"84","20210307"
"101425862","Sisun Sp. z o.o.","101571776",,"55","20220211"
"101425862","Anthos 8 Przysucha Sp. z o.o.","101565400",,"70","20220818"
"101425862","Potencjał Sp. z o.o.","101619721",,"55","20240612"
"302142730","Polski Pelet Sp. z o.o.","364166610",,"100","20230315"
"341338798","Letus Capital S.A.","003442419",,"5.01","20231123"
"341338798","InventionMed S.A.","200715224",,"38.29","20231114"
"341338798","Milisystem Sp. z o.o.","367535679",,"9","20231110"
"341338798","Etos Sp. z o.o.","367236037",,"49","20240320"
"341338798","Softblue Mobility Sp. z o.o.","366791096",,"50","20240606"
"146470190","Billon Digital Services Sp. z o.o.","380027036",,"100","20230726"
"146470190","Billon Solutions Sp. z o.o.","367554369",,"90.72","20240620"
"122776631","Promotechnology Sp. z o.o.","521031320",,"100","20220720"
"122776631","Promotraffic Services Sp. z o.o.","361136955",,"100","20220908"
"341410308","Megatransport Sp. z o.o. sp.k.","341433019",,,"20240601"
"146583215","Seedia Sp. z o.o.","364938187",,"20","20210611"
"146583215","Captive Portal Installer Sp. z o.o.","383242930",,"100","20211222"
"122860426","Germat Sp. z o.o.","241415817",,"99","20200526"
"146749265","Jump Tsl Sp. z o.o. sp.k.","380160500",,,"20210521"
"022282694","Idea Finans Sp. z o.o. sp.k.","022326641",,,"20191101"
"022277760","Energia Polska Sp. z o.o.","022301032",,"76.85","20201223"
"022277760","Energia Polska Innowacje Sp. z o.o.","365160821",,"33","20230202"
"022277760","Solare Energy Sp. z o.o.","147174252",,"80","20240410"
"302577830","Global Tempo Sp. z o.o. sp.k.","382118300",,,"20230207"
"022321543","Punto Blu Sp. z o.o.","364934700",,"50","20191101"
"146975270","Meble Olimp Sp. z o.o. sp.k.","388654152",,,"20240606"
"147055599","LN Rozwiązania Biznesowe Sp. z o.o.","147069905",,"10","20230302"
"302629773","Ultrabox Sp. z o.o.","528097657",,"50","20240315"
"147137676","Aeg Cee Sp. z o.o.","369929454",,"75.5","20180410"
"147277377","Minkfood Sp. z o.o.","366569972",,"100","20170215"
"146748828","Pbr P01 Sp. z o.o. sp.j.","363626860",,,"20220115"
"147264593","Cobra-Trans Etb Sp. z o.o. S.K.A.","146986189",,,"20230905"
"147264593","Kenos Sp. z o.o.","022425521",,"100","20240105"
"147264593","Exico Sp. z o.o.","362194245",,"62.96","20240510"
"101335024","Goc Corporate Sp. z o.o. sp.k.","363270557",,,"20210119"
"101335024","Cgo Recovery Plichta i Wspólnicy sp.k.","526186865",,,"20231024"
"101335024","Brocent Cloud Service (Poland) LLC Sp. z o.o.","528275604",,"100","20240404"
"101335024","At-Pac Hub Warsaw Sp. z o.o.","528804853",,"100","20240605"
"147353799","Asappay Sp. z o.o.","363606595",,"50","20191026"
"147353799","Centrum Badawczo Rozwojowe w Lublinie Sp. z o.o.","385131382",,"100","20220929"
"181141906","Power Region Sp. z o.o.","522181109",,"50","20240523"
"321556832","Meon S.A.","364366963",,"100","20160504"
"321556832","Meon Ems Home Edition Sp. z o.o.","383344636",,"100","20230713"
"321556832","Air Meon Sp. z o.o.","383746197",,"100","20221206"
"321556832","Lechów Sp. z o.o.","364324137",,"100","20230311"
"147355255","Senlima Sp. z o.o.","524482016",,"19.69","20230216"
"147440506","World Corporation Sp. z o.o. w likwidacji","361789781",,"51","20211218"
"360217083","Adaptive Lubricants Solutions Sp. z o.o.","364138794",,"55","20240509"
"360225711","Akcelerator Technologii Informatycznych Pionier Sp. z o.o.","365218213",,"11.71","20230617"
"360633232","Most Media Roi Sp. z o.o.","130854164",,"66.67","20211018"
"360633232","Wbt Development Sp. z o.o.","382540683",,"100","20240606"
"360701235","Krm Development Sp. z o.o.","361032598",,"100","20170804"
"360701235","Bgl Invest Consulting Sp. z o.o. 1 S.K.A.","521428737",,,"20220304"
"360701235","Bgl Invest Consulting Sp. z o.o. 2 S.K.A.","521489242",,,"20220314"
"360701235","Bgl Invest Consulting Sp. z o.o. 3","522243632",,,"20220608"
"361501691","Stem Cells Spin S.A.","020927052",,"68.7","20231114"
"361501691","Rd Consult Sp. z o.o.","022450387",,"100","20240522"
"361503922","Interlogis Group Sp. z o.o.","020711665",,"100","20220525"
"222182590","Słupskie Delikatesy Sp. z o.o.","365076629",,"95","20230802"
"362217064","Dreman Job Sp. z o.o. sp.k.","363524822",,,"20220606"
"362418868","Netrix Ventures Sp. z o.o. It/Energo Alternatywna Spółka Inwestycyjna sp.k.","382391148",,,"20230427"
"362418868","Netrix Ventures Sp. z o.o. Pomorskie 2 Alternatywna Spółka Inwestycyjna sp.k.","385909404",,,"20240102"
"362418868","Netrix Ventures Sp. z o.o. Pomorskie 1 Alternatywna Spółka Inwestycyjna sp.k.","385724946",,,"20240119"
"362418868","Netrix Ventures Sp. z o.o. Med/Bio-Tech Alternatywna Spółka Inwestycyjna sp.k.","382996101",,,"20240131"
"363281495","Inwestor Credit Sp. z o.o.","382426881",,"100","20190129"
"363281495","Inwestor Group Sp. z o.o. sp.k.","366503507",,,"20190823"
"363281495","Inestate Sp. z o.o. sp.k.","363939078",,,"20200710"
"363281495","Credit Inwestor Group Sp. z o.o. sp.k.","366522982",,,"20210204"
"363576090","Anyone Pv Sp. z o.o.","521732530",,"100","20220408"
"363576090","Anytwo Pv Sp. z o.o.","522796420",,"100","20220809"
"363576090","Anythree Pv Sp. z o.o.","523033240",,"100","20220905"
"363576090","Re-Waste Sp. z o.o.","521281990",,"34","20221027"
"363576090","Anyfive Pv Sp. z o.o.","523720382",,"20","20221121"
"363576090","Any Energy Sp. z o.o.","523054070",,"45","20230801"
"363576090","Ai Pv1 Sp. z o.o.","527572808",,"50","20240129"
"363788188","Global Trade Metal Sp. z o.o.","524384727",,"51","20240608"
"363905866","Bts Company Sp. z o.o.","367489790",,"50","20180301"
"363905866","Bts Company Sp. z o.o. sp.k.","367623509",,,"20221019"
"363923226","Formar B&B Konstrukcje Sp. z o.o. sp.k.","382227503",,,"20210202"
"363923226","Budrys B&B Konstrukcje Sp. z o.o. sp.k.","382409227",,,"20210202"
"364108439","Dolnośląskie Centrum Logistyczne M & M Sp. z o.o. - sp.k.","364098474",,,"20220511"
"364394155","Rsystem Sp. z o.o. sp.k.","366286731",,,"20190414"
"364737359","Techlub Sp. z o.o. sp.k.","364883598",,,"20220127"
"365224372","Plan B Sp. z o.o. w likwidacji","141063899",,"100","20170110"
"365481229","Traveltech Sp. z o.o.","120268474",,"71","20220930"
"364718037","Dąbrowa Office Park Sp. z o.o.","380614667",,"100","20240625"
"366135080","Animex Foods K2 Sp. z o.o.","142927882",,"100","20170919"
"366661962","Minimall Sp. z o.o. sp.k.","367023206",,,"20220620"
"366712323","Caganowski i Wspólnicy Sp. z o.o.","302204022",,"100","20231124"
"366712323","Caganowski Invest Sp. z o.o.","302267710",,"98.85","20231223"
"367033104","Rannaw Sp. z o.o.","388015759",,"98","20210416"
"367959534","Agencja Pracy Tymczasowej EMS Sp. z o.o.","363575570",,"95","20211203"
"368033566","Proteine Resources Sp. z o.o. sp.k.","522491583",,,"20220705"
"368227164","Bonasoft Sp. z o.o. Sp.K.","368282737",,,"20211212"
"368972063","Helpa Sp. z o.o. sp.k.","382865250",,,"20230227"
"369113020","Mbm Fotofarma Sp. z o.o.","523393859",,"100","20221013"
"369216688","Novelnatur Sp. z o.o. sp.k.","369343760",,,"20210119"
"369822644","GSMA 24 Sp. z o.o. sp.k.","380809081",,,"20221115"
"369822644","24 GSMA 24 Sp. z o.o. sp.k.","385682225",,,"20230215"
"369822644","Pl-Gsma 24 Sp. z o.o. sp.k.","523080959",,,"20230322"
"380934060","Woosabi Sp. z o.o. sp.k.","382103095",,,"20230120"
"381802336","Orzełek Sp. z o.o.","381295974",,"24","20230721"
"382569445","Smarte Pflege Sp. z o.o. sp.k.","384029530",,,"20210206"
"382576965","Pikralida Pharma Services Sp. z o.o.","527948975",,"100","20240301"
"382576965","Taraxa Bio Sp. z o.o.","528046938",,"100","20240311"
"382767040","Werde Sp. z o.o. sp.k.","386289292",,,"20210725"
"383658642","Headhunters Sp. z o.o. sp.k.","383898748",,,"20211028"
"384630551","Sgg Sp. z o.o. Catering sp.k.","385671316",,,"20220513"
"384837358","Metal Box Sp. z o.o.","384481192",,"6","20240226"
"385461205","Pz Belwederczyków Sp. z o.o.","387641816",,"100","20201127"
"522243017","Moonie World Sp. z o.o.","525449831",,"100","20230530"
"522243017","Moonie Europe Sp. z o.o.","528345339",,"5","20240411"
"525629148","Synapsa Piotr Bogucki sp.j.","525682415",,,"20231214"
