"COMPANY_NUMBER","CO_NUMBER","VAT_NUMBER","NAME","TRADING_NAME","ALIAS_NAME","PREVIOUS_NAME1","PREVIOUS_NAME2","ADDRESS1","ADDRESS2","ADDRESS3","TOWN","ADDRESS5","ZIP","REGION","COUNTRY","PHONE","MARKETING_ALLOWED","EMAIL","WEBSITE","STATUS","DATE_OF_CHANGE","TYPE","LEGAL_FORM","INCORP_DATE","REG_TYPE","ACTIVITY_CODE","CREDITWORTHY","CREDITSCORE","CREDIT_SCORE_DEFINITION","CREDIT_LIMIT","LATEST_ACCOUNTS","CONSOLIDATED_ACCOUNTS","CURRENCY","LATEST_TURNOVER","PRE.TAX_PROFIT","PROFIT","EMPLOYEES","TURNOVER_BAND","TOTAL_FIXED_ASSETS","TOTAL_CURRENT_ASSETS","TOTAL_CURRENT_LIABILITIES","TOTAL_LONG_TERM_LIABILITIES","SHAREHOLDERS_FUNDS","NET_WORTH","WORKING_CAPITAL","CURRENT_RATIO","PRE.TAX_PROFIT_MARGIN","RETURN_ON_TOTAL_ASSETS_EMPLOYED","TOTAL_DEBT_RATIO","CURRENT_DEBT_RATIO","SHARE_CAPITAL"
,19393,7770006350,"Uniwersytet im. Adama Mickiewicza w Poznaniu",,"000001293",,,"Wieniawskiego 1",,,"Poznań",,"61-712","Wielkopolskie","PL","4861 8294000",,"rectorof@amu.edu.pl","www.amu.edu.pl",1,"25-06-2024","HEAD OFFICE","college",1919,"NON LIMITED","8542Z","N",,"",,"31-12-2023","N","PLN",976417.51,6096.89,5674.93,,,1359520.12,531066.22,707145.88,,1183440.46,6136.23,-176079.66,0.75,0.62,0.32,0.6,0.6,1177304.23
102615,21229,9460014184,"Color Park S.A.",,"430602447",,,"Wolska 11",,,"Lublin",,"20-411","Lubelskie","PL","4881 7462027",,"","www.blekitnagaleria.com",5,"19-03-2024","HEAD OFFICE","joint-stock company",1996,"LIMITED","4120Z","N",,"",,"31-12-2021","N","PLN",1197.14,275.8,244.16,2,,39023.47,668.96,387.89,17499.83,21804.71,18704.71,281.07,1.72,23.04,0.69,0.82,0.02,3100
50063,20160,8480005503,"Przedsiębiorstwo Transportowo-Sprzętowe Budownictwa Transbud Ełk Sp. z o.o.",,"790128449",,,"Łukasiewicza 1",,,"Ełk",,"19-300","Warmińsko-mazurskie","PL","4887 6217423",,"transbud@transbud.elk.pl","www.transbud.elk.pl",1,"05-09-2023","HEAD OFFICE","limited liability company",1960,"LIMITED","4671Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",730,"31-12-2022","N","PLN",170107.05,3991.35,3081.35,,,8272.81,23123.04,15475.58,20.34,15899.93,15793.18,7647.46,1.49,2.35,12.71,0.97,0.97,106.75
132096,31977,7820069129,"Bemo Motors Sp. z o.o.",,"634392236",,,"Mogileńska 50",,,"Poznań",,"61-044","Wielkopolskie","PL","4861 8100100",,"insal@bemo-motors.pl","www.bemo-motors.pl",1,"03-07-2024","HEAD OFFICE","limited liability company",1993,"LIMITED","4511Z","Y",3,"acceptable condition, the company does not reveal significant problems.",3400,"31-12-2023","N","PLN",914119.09,24348.96,20146.85,525,,307484.51,399885.62,390153.83,71700.41,245515.88,242295.88,9731.78,1.02,2.66,3.44,1.88,1.59,3220
43881,22448,5880009578,"BORGA Sp. z o.o.",,"190251335",,,"Azymutalna 9",,,"Gdańsk",,"80-298","Pomorskie","PL","4858 6299444",,"info@borga.pl","www.borga.pl",1,"28-05-2024","HEAD OFFICE","limited liability company",1993,"LIMITED","2511Z","Y",3,"acceptable condition, the company does not reveal significant problems.",2500,"31-12-2023","N","PLN",86071.22,3706.14,2635.27,178,,20192.88,37487.15,22640.3,510.34,34529.39,8429.39,14846.85,1.66,4.31,6.43,0.67,0.66,26100
219629,31941,6460010322,"Rejonowe Przedsiębiorstwo Wodociągów i Kanalizacji w Tychach S.A.",,"270544647",,,"Sadowa 4",,,"Tychy",,"43-100","Śląskie","PL","4832 3257001",,"sekretariat@rpwik.tychy.pl","www.rpwik.tychy.pl",1,"25-06-2024","HEAD OFFICE","joint-stock company",1991,"LIMITED","3600Z","Y",3,"acceptable condition, the company does not reveal significant problems.",3500,"31-12-2022","N","PLN",86854.11,624.76,339.2,270,,115257.45,18078.75,20372.11,1129.94,111834.15,54599.44,-2293.36,0.89,0.72,0.47,0.19,0.18,57234.71
,20330,8960005779,"Uniwersytet Medyczny Im.Piastów Śląskich we Wrocławiu",,"000288981",,,"Pasteura 1",,,"Wrocław",,"50-367","Dolnośląskie","PL","4871 7841001",,"rektor@am.wroc.pl","www.am.wroc.pl",1,"13-09-2023","HEAD OFFICE","college",1950,"NON LIMITED","8542Z","N",,"",,"31-12-2022","N","PLN",302066.03,3137.56,3109.45,,,906624.01,267410.99,219040.82,,954994.17,-10728.21,48370.17,1.22,1.04,0.27,0.23,0.23,965722.39
166371,32342,8940005440,"Dom Samochodowy Germaz Sp. z o.o.",,"930605878",,,"Strzegomska 139",,,"Wrocław",,"54-428","Dolnośląskie","PL","4871 3582013",,"biuro@germaz.com.pl","www.germaz.com.pl",1,"22-08-2023","HEAD OFFICE","limited liability company",1992,"LIMITED","4511Z","Y",3,"acceptable condition, the company does not reveal significant problems.",2600,"31-12-2022","N","PLN",243204.26,5159.72,5007.04,20,,101046.16,72172.43,79521.57,18055.75,75641.27,54919.27,-7349.14,0.91,2.12,2.98,1.29,1.05,20722
34198,23871,8722076258,"ELIT POLSKA Sp. z o.o.",,"691530091",,,"Aleja Pokoju 18c",,,"Kraków",,"31-564","Małopolskie","PL","4812 6838800",,"sekretariat.krakow@elitpolska.pl","www.elitpolska.pl",1,"19-12-2023","HEAD OFFICE","limited liability company",2000,"LIMITED","4531Z","N",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",,"31-12-2022","N","PLN",478540.74,-30831.38,-30831.38,662,,70975.65,205810.38,183936.84,20935.35,71913.85,57213.85,21873.54,1.12,-6.44,-11.14,2.85,2.56,14700
33087,33795,5211010771,"Sandvik Polska Sp. z o.o.",,"010862768",,,"Józefa Pukowca 7",,,"Katowice",,"40-847","Śląskie","PL","4822 6473880",,"pl.coromant@sandvik.com","www.home.sandvik.pl",1,"12-03-2024","HEAD OFFICE","limited liability company",1995,"LIMITED","2573Z","Y",3,"acceptable condition, the company does not reveal significant problems.",3200,"31-12-2022","N","PLN",479317,15026,11771,432,,125032,168851,206408,,87475,65655,-37557,0.82,3.13,5.11,2.36,2.36,21820
1007857,36410,5860066998,"Simpson Strong-Tie Etanco P.S.A.",,"190279500",,,"al. Jana Pawła II 1",,,"Gdynia",,"81-345","Pomorskie","PL","4855 2422926",,"info@etanco.pl","www.etanco.pl",1,"11-06-2024","HEAD OFFICE","simple joint-stock company",1993,"NON LIMITED","2594Z","N",1,"poor condition, highly probable problems with solvency.",,"31-12-2022","N","PLN",0,-6.94,-5.63,,,21762.79,85115.85,52062.69,,54815.95,29451.45,33053.16,1.63,,-0.01,0.95,0.95,25364.5
56073,30610,8411002134,"Przedsiębiorstwo Przemysłu Drzewnego Poltarex Sp. z o.o.",,"770726545",,,"Żeromskiego 9/10",,,"Lębork",,"84-300","Pomorskie","PL","4859 8622430",,"sekretariat@poltarex.pl","www.poltarex.pl",1,"05-09-2023","HEAD OFFICE","limited liability company",1995,"LIMITED","1610Z","Y",5,"very good situation in the company, debts and liabilities are settled on time, solvency is retained, financial/material resources for R&D or implementation of new investments are available.",3800,"31-12-2022","N","PLN",249780.27,42499.24,33681.22,535,,72167.02,68497.83,25123.45,1413.49,114127.91,113327.91,43374.38,2.73,17.01,30.21,0.23,0.22,800
74514,31858,5341136594,"MAGO S.A.",,"011944474",,,"Aleja Katowicka 119/121",,,"Rusiec",,"05-830","Mazowieckie","PL","4822 7298101",,"mago@mago.pl","www.mago.pl",1,"05-03-2024","HEAD OFFICE","joint-stock company",1989,"LIMITED","3101Z","N",1,"poor condition, highly probable problems with solvency.",,"31-12-2022","N","PLN",398411.69,-6375.92,-4645.53,428,,105880.92,123846.17,123929.97,31202.57,74594.55,45390.35,-83.8,1,-1.6,-2.78,2.08,1.66,29204.2
36594,36592,5211579028,"Scania Finance Polska Sp. z o.o.",,"012244299",,,"Al. Katowicka 316",,,"Stara Wieś",,"05-830","Mazowieckie","PL","4822 3560230",,"mail@scania.pl","www.scania.com/pl",1,"08-08-2023","HEAD OFFICE","limited liability company",1997,"LIMITED","6491Z","Y",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",500,"31-12-2022","N","PLN",142211,43107,35198,55,,1593889,780741,895321,1208160,271149,261149,-114580,0.87,30.31,1.82,7.76,3.3,10000
97680,33721,7641796232,"Altvater Piła Sp. z o.o.",,"570302283",,,"Łączna 4a",,,"Piła",,"64-920","Wielkopolskie","PL","4867 2124352 wew. 3",,"altvater_pila@vedia-es.pl","www.altvater.pl",1,"13-09-2023","HEAD OFFICE","limited liability company",1997,"LIMITED","3811Z","Y",3,"acceptable condition, the company does not reveal significant problems.",2900,"31-12-2022","N","PLN",104102.5,18312.26,14883.21,269,,110441.93,27844.07,65149.26,45620.33,27516.41,18229.61,-37305.19,0.43,17.59,13.24,4.03,2.37,9286.8
66651,40533,6150024146,"Citronex I Sp. z o.o.",,"230069410",,,"Bohaterów II Armii Wojska Polskiego 64",,,"Zgorzelec",,"59-900","Dolnośląskie","PL","4875 7721940",,"info@citronex.pl","www.citronex.pl",1,"05-03-2024","HEAD OFFICE","limited liability company",1993,"LIMITED","4631Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",4600,"31-12-2022","N","PLN",986499.19,46590.43,40074.46,338,,211734.43,325622.85,170724.75,36064.9,330567.62,318067.62,154898.1,1.91,4.72,8.67,0.63,0.52,12500
27088,39948,5272162127,"Domański Zakrzewski Palinka sp.k.",,"013160890",,,"Rondo Organizacji Narodów Zjednoczonych 1 lok. 22 Piętro",,,"Warszawa",,"00-124","Mazowieckie","PL","4822 5577600",,"dzp@dzp.pl","www.dzp.pl",1,"28-05-2024","HEAD OFFICE","limited partnership",1993,"LIMITED","6910Z","Y",3,"acceptable condition, the company does not reveal significant problems.",3900,"31-12-2023","N","PLN",127576.89,37449.13,29884,160,,13126.12,35387.35,29855.1,1563.18,17095.2,3520.2,5532.26,1.19,29.35,77.19,1.84,1.75,13575
85349,41562,8571008016,"Sandra J.Zalewski i Spółka sp.j.",,"812442100",,,"Wojska Polskiego 3",,,"Pogorzelica",,"72-350","Zachodniopomorskie","PL","4891 4814700",,"sandrapl@home.pl","www.sandra.ta.pl",1,"02-01-2024","HEAD OFFICE","general partnership",1996,"LIMITED","5510Z","N",3,"acceptable condition, the company does not reveal significant problems.",,"31-12-2021","N","PLN",59611.81,33212.42,33212.42,178,,58012.11,4829.04,10438.75,16989.63,35412.77,35409.27,-5609.71,0.46,55.71,52.85,0.77,0.29,3.5
48642,37917,5782706307,"Przedsiębiorstwo Komunikacji Samochodowej w Elblągu Sp. z o.o.",,"170919369",,,"Aleja Grunwaldzka 61",,,"Elbląg",,"82-300","Warmińsko-mazurskie","PL","4855 2396222",,"pks@pks.elblag.pl","www.pks.elblag.pl",1,"28-05-2024","HEAD OFFICE","limited liability company",2000,"LIMITED","4939Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",1200,"31-12-2023","N","PLN",56876.52,5223.95,4197.77,249,,23462.49,18602.22,5244.26,,36820.45,34590.45,13357.96,3.55,9.18,12.42,0.14,0.14,2230
50796,36939,5212765454,"JBD S.A.",,"012853986",,,"Ks. Bp. Wincentego Tymienieckiego 25c lok. 314",,,"Łódź",,"90-350","Łódzkie","PL","4842 6300234",,"jbd@jbd.com.pl","www.jbd.com.pl",1,"18-07-2023","HEAD OFFICE","joint-stock company",2001,"LIMITED","4690Z","Y",3,"acceptable condition, the company does not reveal significant problems.",220,"31-12-2022","N","PLN",37183.99,908.98,692.75,14,,3218.01,20780.36,14267.86,,9730.51,9230.51,6512.5,1.46,2.44,3.79,1.47,1.47,500
,37097,7393033097,"Uniwersytet Warmińsko-Mazurski w Olsztynie",,"510884205",,,"M. Oczapowskiego 2",,,"Olsztyn",,"10-719","Warmińsko-mazurskie","PL","4889 5233330",,"br@uwm.edu.pl","www.uwm.edu.pl",1,"11-07-2023","HEAD OFFICE","State organizational unit",1999,"NON LIMITED","8542Z","N",,"",,"31-12-2022","N","PLN",474635.35,30918.44,30821.16,,,714615.5,291989.81,310419.54,909.58,695276.2,64032.36,-18429.72,0.94,6.51,3.07,0.45,0.45,631243.84
519553,37169,7772304755,"Eurocash Serwis Sp. z o.o.",,"631255378",,,"Wiśniowa 11",,,"Komorniki",,"62-052","Wielkopolskie","PL","4861 6513300 - 2",,"kontakt.ecserwis@eurocash.pl","serwis.grupaeurocash.pl",1,"05-09-2023","HEAD OFFICE","limited liability company",1998,"LIMITED","4635Z","Y",3,"acceptable condition, the company does not reveal significant problems.",5000,"31-12-2022","N","PLN",9875367.25,43609.68,34223.31,1004,,21359.19,853260.31,748812.86,,125806.64,113076.74,104447.45,1.14,0.44,4.99,5.95,5.95,12729.9
11534,54514,7640001360,"Miralex Sp. z o.o.",,"004610793",,,"Lotnicza 4",,,"Piła",,"64-920","Wielkopolskie","PL","4867 2126780",,"miralex@miralex.pl","www.miralex.pl",1,"21-05-2024","HEAD OFFICE","limited liability company",1990,"LIMITED","4646Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",1800,"31-12-2022","N","PLN",80814.38,9726.78,7922.08,58,,39477.78,43763.11,21394.12,1271.46,60575.31,60349.19,22369,2.05,12.04,11.69,0.37,0.35,226.13
284694,62814,5272324541,"Medicofarma S.A.",,"012250271",,,"Sokołowska 9 lok. U19",,,"Warszawa",,"01-142","Mazowieckie","PL","4822 6539322",,"biuro@medicofarma.pl","www.medicofarma.pl",1,"24-10-2023","HEAD OFFICE","joint-stock company",1996,"LIMITED","2120Z","Y",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",500,"31-12-2022","N","PLN",55964.76,204.74,204.74,143,,102074.45,26708.38,45765.01,21330.65,61687.17,40687.17,-19056.63,0.58,0.37,0.16,1.09,0.74,21000
170922,66911,7282379243,"KOLOR METAL Tadeusz Pacyna Sp. z o.o.",,"472762508",,,"Trembeckiego 7",,,"Rzeszów",,"35-234","Podkarpackie","PL","48 502345105",,"lodz@kolormetal.pl","www.kolormetal.pl",5,"13-02-2024","HEAD OFFICE","limited liability company",2000,"LIMITED","4677Z","N",,"",,"31-12-2015","N","PLN",14529.22,237.74,237.74,,,1.01,47117.4,16604.81,13060.3,17453.3,9841.3,30512.59,2.84,1.64,0.5,1.7,0.95,7612
31622,65624,9590925872,"Przedsiębiorstwo Gospodarki Mieszkaniowej Sp. z o.o. w Kielcach",,"290760306",,,"Panoramiczna 2 lok. \"I\"",,,"Kielce",,"25-503","Świętokrzyskie","PL","4841 3686121",,"biuro@pgm.kielce.pl","www.pgm.kielce.pl",1,"29-08-2023","HEAD OFFICE","limited liability company",1996,"LIMITED","6832Z","Y",3,"acceptable condition, the company does not reveal significant problems.",300,"31-12-2022","N","PLN",4370.56,215.45,215.45,42,,4767.58,1345.74,2922.7,339.02,2851.59,408.09,-1576.96,0.46,4.93,3.52,1.14,1.02,2443.5
305285,64859,7712436996,"Buszrem S.A.",,"590757832",,,"Żwirki 9",,,"Piotrków Trybunalski",,"97-300","Łódzkie","PL","4844 6473197",,"buszrem@buszrem.pl","www.buszrem.com.pl",1,"08-08-2023","HEAD OFFICE","joint-stock company",2000,"LIMITED","2361Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",2500,"31-12-2022","N","PLN",116712.1,15539.17,12063.77,198,,95182.47,49579.69,31665.15,15107.15,97989.85,93647.85,17914.54,1.57,13.31,10.73,0.48,0.32,4342
36656,75263,5262153084,"Egis Poland Sp. z o.o.",,"012926952",,,"Marynarska 15",,,"Warszawa",,"02-674","Mazowieckie","PL","4822 2030100",,"biuro.poland@egis-group.com","www.egis-group.com",1,"25-06-2024","HEAD OFFICE","limited liability company",1998,"LIMITED","7112Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",2700,"31-12-2022","N","PLN",82907.7,10693,9222.62,,,7876.52,79097.01,75947.61,390.47,10635.45,-6467.55,3149.4,1.04,12.9,12.29,7.18,7.14,17103
75996,87240,6310020661,"Marani Sp. z o.o.",,"272036412",,,"Szybowa 14 C",,,"Zabrze",,"41-808","Śląskie","PL","4832 2740113 - 16",,"marani@marani.pl","www.marani.pl",1,"08-08-2023","HEAD OFFICE","limited liability company",1993,"LIMITED","2011Z","Y",3,"acceptable condition, the company does not reveal significant problems.",520,"31-12-2022","N","PLN",32406.99,2599.96,2079.37,82,,28224.44,25421.11,21541.21,6098.44,26005.91,25935.41,3879.9,1.18,8.02,4.85,1.06,0.83,70.5
5489,505489,5890008072,"Firma Handlowa Kolanko sp.j. Marek Papierski Janusz Skawiński",,"190783368",,,"Oliwska 72",,,"Chwaszczyno",,"80-209","Pomorskie","PL","4858 3450981",,"biuro@kolanko.com.pl","www.kolanko.pl",1,"11-06-2024","HEAD OFFICE","general partnership",1993,"LIMITED","4673Z","Y",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",500,"31-12-2023","N","PLN",5336.81,56.52,56.52,36,,6794.56,2474.59,1921.14,280,7068.01,56.52,553.45,1.29,1.06,0.61,0.31,0.27,7011.49
76120,576120,7282425871,"Topo Wind Energia S.A.",,"472945976",,,"Sobieskiego 99 lok. 69",,,"Warszawa",,"00-763","Mazowieckie","PL","",,"","",1,"08-03-2022","HEAD OFFICE","joint-stock company",2002,"LIMITED","3511Z","N",,"",,"31-12-2010","N","PLN",381.8,1.95,1.58,,,726.97,1164.22,575.77,821.33,494.08,-5.92,588.45,2.02,0.51,0.1,2.83,1.17,500
909652,586990,6340126625,"Infosystem Towarzystwo Techniki Biurowej Sp. z o.o.",,"270548378",,,"Mikołaja Kopernika 26",,,"Katowice",,"40-064","Śląskie","PL","4832 3520250",,"jan.twardowski@kopernika26.pl","www.kopernika26.pl",1,"22-08-2023","HEAD OFFICE","limited liability company",2002,"LIMITED","6810Z","Y",3,"acceptable condition, the company does not reveal significant problems.",90,"31-12-2022","N","PLN",744.51,344.37,344.37,1,,2308.08,1676.52,,,2304.46,,,,46.25,8.64,,,120.15
98312,598312,5832770923,"Dierre Północ Sp. z o.o.",,"192638937",,,"Jabłoniowa 20 lok. 215",,,"Gdańsk",,"80-175","Pomorskie","PL","4858 7634481",,"gdansk@dierre.com.pl","www.dierre.com.pl",1,"05-09-2023","HEAD OFFICE","limited liability company",2002,"LIMITED","4332Z","Y",3,"acceptable condition, the company does not reveal significant problems.",170,"31-12-2022","N","PLN",8802.41,945.89,766.15,10,,1430.28,11180.98,6207.64,,6403.62,6343.62,4973.34,1.8,10.75,7.5,0.97,0.97,60
110885,610885,8961320158,"Mystic.Garden - Sp. z o.o.",,"932780545",,,"Krynicka 66 lok. 6",,,"Wrocław",,"50-555","Dolnośląskie","PL","4871 3425941",,"askom@askom.pl","www.askom.pl",5,"25-07-2023","HEAD OFFICE","limited liability company",2002,"LIMITED","4690Z","N",,"",,"","","PLN",,,,,,,,,,,,,,,,,,
106226,606226,5221019064,"Polchip Sp. z o.o. w likwidacji",,"011133557",,,"Płochocińska 65",,,"Warszawa",,"03-044","Mazowieckie","PL","4822 6448808",,"info@polchip.com.pl","www.polchip.com.pl",4,"28-11-2023","HEAD OFFICE","limited liability company",1995,"LIMITED","3320Z","N",,"",,"31-12-2012","N","PLN",2605.69,148.44,134.62,,,1449.26,2324.93,1814.25,47.63,1912.31,1858.31,510.68,1.28,5.7,3.93,0.97,0.95,54
151333,651333,9372012375,"Kombi, Sp. z o.o.",,"070834179",,,"Żeglarska 7",,,"Zarzecze",,"34-326","Śląskie","PL","4833 8611598",,"kombi@kombi.com.pl","www.kombi.com.pl",1,"13-02-2024","HEAD OFFICE","limited liability company",1997,"LIMITED","6820Z","Y",3,"acceptable condition, the company does not reveal significant problems.",1400,"31-12-2022","N","PLN",3210.32,6505.48,6172.12,6,,29213.54,252.58,478.4,17339,11648.71,11083.71,-225.82,0.53,202.64,22.08,1.53,0.04,565
155886,655886,9930332959,"Uniroll Sp. z o.o.",,"852651568",,,"Kwiatkowskiego lok. 8",,,"Tarnów",,"33-101","Małopolskie","PL","4814 6373805",,"biuro@uniroll.pl","www.uniroll.pl",1,"02-01-2024","HEAD OFFICE","limited liability company",2002,"LIMITED","5221Z","N",0,"very severe condition (i.e. a direct threat of bankruptcy).",,"31-12-2021","N","PLN",0,-0.93,-0.93,1,,66.45,1105.01,59.69,,1111.76,1061.76,1045.32,18.51,,-0.08,0.05,0.05,50
154855,654855,5482394111,"Stawac Sp. z o.o.",,"072826770",,,"Przemysłowa 23",,,"Rzeszów",,"35-105","Podkarpackie","PL","4832 6725350",,"","",1,"27-09-2023","HEAD OFFICE","limited liability company",2003,"LIMITED","2562Z","Y",3,"acceptable condition, the company does not reveal significant problems.",30,"31-12-2022","N","PLN",1280.48,118.3,107.47,10,,4.38,3386.29,2154.84,,1235.82,1185.82,1231.44,1.57,9.24,3.49,1.74,1.74,50
